Carrier,Departure Time,Destination,Distance,Date,Flight Number,Origin,Day of the Week,Day of the Month,Flight delay,Random
DH,5,JFK,228,1/28/2004,7808,IAD,3,28,0,0.000730261
RU,21,EWR,199,1/25/2004,2097,DCA,7,25,0,0.930592366
RU,14,EWR,199,1/13/2004,2582,DCA,2,13,0,0.953102795
MQ,6,LGA,214,01-12-2004,4970,DCA,1,12,0,0.299596155
RU,4,EWR,199,01-08-2004,2261,DCA,4,8,0,0.935429136
MQ,14,LGA,214,1/13/2004,4956,DCA,2,13,0,0.828908175
DH,12,JFK,228,1/16/2004,7814,IAD,5,16,0,0.880166663
DL,3,LGA,214,1/16/2004,1764,DCA,5,16,0,0.813370806
MQ,13,LGA,214,1/30/2004,4960,DCA,5,30,0,0.370157231
MQ,22,LGA,214,01-05-2004,4970,DCA,1,5,1,0.453624976
DL,16,LGA,214,01-12-2004,1760,DCA,1,12,0,0.562192161
US,7,LGA,214,01-09-2004,2172,DCA,5,9,0,0.564803195
DL,1,LGA,214,01-07-2004,1752,DCA,3,7,0,0.973090723
US,6,LGA,214,1/24/2004,2172,DCA,6,24,0,0.585234107
DL,8,LGA,214,1/19/2004,1742,DCA,1,19,0,0.62733028
DH,3,JFK,228,1/14/2004,7812,IAD,3,14,0,0.983662388
DL,18,LGA,214,1/20/2004,1742,DCA,2,20,0,0.938250181
DH,22,JFK,228,1/31/2004,7814,IAD,6,31,0,0.712279039
US,4,LGA,214,1/27/2004,2174,DCA,2,27,0,0.497087295
RU,12,EWR,199,01-02-2004,2879,DCA,5,2,0,0.34810324
DH,2,EWR,213,1/26/2004,7299,IAD,1,26,0,0.395352432
MQ,0,LGA,214,01-01-2004,4976,DCA,4,1,0,0.084139063
DL,4,LGA,214,1/18/2004,1760,DCA,7,18,0,0.420402355
DL,21,LGA,214,1/26/2004,1760,DCA,1,26,0,0.89142573
US,20,LGA,214,1/26/2004,2188,DCA,1,26,1,0.057127968
US,15,LGA,214,1/29/2004,2172,DCA,4,29,0,0.52303885
DL,21,LGA,214,01-02-2004,1762,DCA,5,2,0,0.46791034
US,0,LGA,214,1/18/2004,2184,DCA,7,18,0,0.876341213
DH,1,EWR,213,1/20/2004,7305,IAD,2,20,0,0.295914655
MQ,14,LGA,214,1/27/2004,4952,DCA,2,27,1,0.992934537
RU,16,EWR,169,01-02-2004,2675,BWI,5,2,0,0.703346167
US,12,LGA,214,1/14/2004,2160,DCA,3,14,0,0.632645503
RU,9,EWR,199,1/20/2004,2582,DCA,2,20,0,0.369519292
DH,11,JFK,228,1/30/2004,7808,IAD,5,30,0,0.619775001
MQ,12,LGA,214,1/20/2004,4954,DCA,2,20,0,0.856736035
DL,22,LGA,214,1/13/2004,1748,DCA,2,13,0,0.632969831
DH,14,LGA,229,1/18/2004,7215,IAD,7,18,1,0.76123326
DH,8,LGA,229,01-09-2004,7211,IAD,5,9,1,0.64717543
RU,18,EWR,199,1/21/2004,2879,DCA,3,21,0,0.382877448
CO,7,EWR,199,01-12-2004,808,DCA,1,12,0,0.91491814
CO,22,EWR,199,01-09-2004,808,DCA,5,9,0,0.202073007
DH,23,JFK,228,1/21/2004,7808,IAD,3,21,0,0.852401268
RU,6,EWR,199,01-02-2004,2761,DCA,5,2,0,0.153343031
DH,17,JFK,228,01-07-2004,7814,IAD,3,7,0,0.368931866
RU,16,EWR,199,1/22/2004,2582,DCA,4,22,0,0.082829948
US,12,LGA,214,01-08-2004,1479,DCA,4,8,0,0.751459994
DL,14,LGA,214,01-12-2004,1756,DCA,1,12,0,0.894414915
US,9,LGA,214,1/23/2004,1479,DCA,5,23,0,0.500740728
US,4,LGA,214,1/20/2004,2172,DCA,2,20,0,0.153190672
DL,20,LGA,214,1/15/2004,1750,DCA,4,15,0,0.372217128
DH,11,EWR,213,1/14/2004,7299,IAD,3,14,0,0.130263651
CO,8,EWR,199,01-12-2004,814,DCA,1,12,1,0.921933225
